"time","original","adjusted"
"1994Q1",12445,12613.979470214
"1994Q2",13539,12157.2032815591
"1994Q3",12434,12957.3701814734
"1994Q4",11745,12801.5461808925
"1995Q1",13049,13343.9116834919
"1995Q2",15662,13854.3867625025
"1995Q3",13321,13998.8797900048
"1995Q4",13510,14666.2648523791
"1996Q1",13919,14358.8729808986
"1996Q2",17053,14876.5080178381
"1996Q3",14177,15020.367849207
"1996Q4",14050,15287.8894335754
"1997Q1",15253,15783.2830695903
"1997Q2",17753,15244.6567834298
"1997Q3",15185,16214.4420182761
"1997Q4",15123,16558.6899269865
"1998Q1",16172,16882.6832188396
"1998Q2",21203,17733.1999352911
"1998Q3",16204,17454.9310846562
"1998Q4",16233,17905.0563896139
"1999Q1",16886,17755.2396966858
"1999Q2",22798,18706.8990785391
"1999Q3",17527,18984.0580657241
"1999Q4",18287,20394.0200869654
"2000Q1",20206,21225.2394073869
"2000Q2",28230,22935.1768976779
"2000Q3",20067,21584.804591778
"2000Q4",19200,21628.5169047156
"2001Q1",22120,23273.3104237903
"2001Q2",29071,23968.0156421885
"2001Q3",18666,19685.7275139145
"2001Q4",17508,19547.6256288592
"2002Q1",18758,19852.2809554567
"2002Q2",22790,19271.5283983042
"2002Q3",18969,19647.3938314761
"2002Q4",18813,20781.9044187895
"2003Q1",18579,19815.7463147311
"2003Q2",22838,19551.8926354737
"2003Q3",21682,22163.3154239188
"2003Q4",18650,20658.0576744812
"2004Q1",20789,22276.2428725529
"2004Q2",24682,20806.8598588581
"2004Q3",22802,23645.1266443932
"2004Q4",22953,25498.2940530686
"2005Q1",23391,25376.8426286151
"2005Q2",35375,28537.6557597625
"2005Q3",25492,27012.9830333439
"2005Q4",24629,27668.0605139976
"2006Q1",26233,28669.064319575
"2006Q2",37311,29267.9294325618
"2006Q3",27102,29053.2789513832
"2006Q4",25210,28407.6560518325
"2007Q1",26635,29301.2397407616
"2007Q2",38220,29569.0923122374
"2007Q3",26524,28671.6193205915
"2007Q4",26652,29856.6930141753
"2008Q1",26355,29256.0830657279
"2008Q2",39026,30058.1313716009
"2008Q3",26638,28778.1030358932
"2008Q4",23885,26552.2014643377
"2009Q1",22247,24694.2331992045
"2009Q2",33713,26335.2268871626
"2009Q3",24203,26385.208880767
"2009Q4",23918,26191.5103674385
"2010Q1",25656,27843.2934238692
"2010Q2",33532,26753.8136792184
"2010Q3",26137,29079.1503059503
"2010Q4",28894,31200.2042230146
"2011Q1",28160,29974.5156708138
"2011Q2",36959,29540.2948824907
"2011Q3",25053,28422.4288641353
"2011Q4",25746,27885.2158282097
"2012Q1",26202,27422.1783036084
"2012Q2",35111,27966.6177672344
"2012Q3",26213,30286.6367342368
"2012Q4",29184,31811.7816792751
"2013Q1",34913,35907.23720915
"2013Q2",44583,35069.4317653143
"2013Q3",28477,33365.173736971
"2013Q4",30823,33634.9068244816
"2014Q1",32914,34103.8501258037
"2014Q2",44711,34927.2694987
"2014Q3",30988,36363.9956401504
"2014Q4",34906,37812.0285726897
"2015Q1",35970,37565.4446472167
"2015Q2",51862,40418.4893110966
"2015Q3",33173,38944.0694267857
"2015Q4",37226,40255.2701564208
"2016Q1",37543,39085.8234987723
"2016Q2",49550,38930.8939672029
"2016Q3",33756,39413.2346622514
"2016Q4",36595,39824.1222220361
"2017Q1",39357,40628.4598482722
"2017Q2",51021,40294.241721882
"2017Q3",36167,41906.4514844448
"2017Q4",42363,46903.5237578508
"2018Q1",43550,44607.2226021489
"2018Q2",57674,45157.4957398972
"2018Q3",40156,45805.6648606844
"2018Q4",37893,43563.5011079691
"2019Q1",47152,47996.6433266932
"2019Q2",63388,49112.0194005162
"2019Q3",44671,50223.805117535
"2019Q4",41438,48482.709757183
"2020Q1",49047,49946.1237724649
